"","Virus","Subtype","clade","day","Sample","sample_time","ferret","PFU","RNA","ratio","AUC_PFU","AUC_RNA","ratio_auc","trans","trans_cat","trans_3cat"
"30","WA239","H5N1","D1.1","d3","NIOSH","30min","6758",0,3.3101988613472,0,0.554726112532332,3.58278710392072,3.02806099138838,0,"non-transmissible","Non-transmissible"
"31","WA239","H5N1","D1.1","d3","NIOSH","30min","6754",0,3.17202769291198,0,-0.185636576961912,3.74654725353113,3.93218383049304,0,"non-transmissible","Non-transmissible"
"32","WA239","H5N1","D1.1","d3","NIOSH","30min","6756",0.592514673421732,3.2506676749778,2.65815300155606,0.416423414366051,3.75064882366002,3.33422540929396,0,"non-transmissible","Non-transmissible"
"33","WA239","H5N1","D1.1","d3","NIOSH","30min","6758",0.416423414366051,3.52157688527489,3.10515347090884,0.554726112532332,3.58278710392072,3.02806099138838,0,"non-transmissible","Non-transmissible"
"34","WA239","H5N1","D1.1","d3","NW","","6754",5.55630250076729,8.90275640734443,3.34645390657714,5.56169753265399,8.7961324939766,3.23443496132261,0,"non-transmissible","Non-transmissible"
"35","WA239","H5N1","D1.1","d3","NW","","6756",5.04139268515823,8.82018036886454,3.77878768370632,4.93826948346291,8.60681779070029,3.66854830723738,0,"non-transmissible","Non-transmissible"
"36","WA239","H5N1","D1.1","d3","NW","","6758",5.77815125038364,8.81788039708447,3.03972914670083,5.49415459401844,8.62999749781073,3.13584290379229,0,"non-transmissible","Non-transmissible"
"37","WA239","H5N1","D1.1","d5","SPOT","30min","6754",0.529827543193592,3.4923381211449,2.96251057795131,0,2.86736083886118,0,0,"non-transmissible","Non-transmissible"
"38","WA239","H5N1","D1.1","d5","SPOT","30min","6756",0.529827543193592,3.70874211634608,3.17891457315249,0.161850819941071,3.17373237257089,3.01188155262982,0,"non-transmissible","Non-transmissible"
"39","WA239","H5N1","D1.1","d5","SPOT","30min","6758",0.529827543193592,3.59099411092723,3.06116656773363,0.940002070324715,4.16131957030944,3.22131749998472,0,"non-transmissible","Non-transmissible"
"40","WA239","H5N1","D1.1","d5","NIOSH","30min","6754",0,3.52344164502478,0,-0.185636576961912,3.74654725353113,3.93218383049304,0,"non-transmissible","Non-transmissible"
"41","WA239","H5N1","D1.1","d5","NIOSH","30min","6756",0,4.31452568600064,0,0.416423414366051,3.75064882366002,3.33422540929396,0,"non-transmissible","Non-transmissible"
"42","WA239","H5N1","D1.1","d5","NIOSH","30min","6758",0.11539341870207,3.81159782715338,3.69620440845131,0.554726112532332,3.58278710392072,3.02806099138838,0,"non-transmissible","Non-transmissible"
"43","WA239","H5N1","D1.1","d5","NIOSH","30min","6754",0,3.86892592249177,0,-0.185636576961912,3.74654725353113,3.93218383049304,0,"non-transmissible","Non-transmissible"
"44","WA239","H5N1","D1.1","d5","NIOSH","30min","6756",0,3.67667211677834,0,0.416423414366051,3.75064882366002,3.33422540929396,0,"non-transmissible","Non-transmissible"
"45","WA239","H5N1","D1.1","d5","NIOSH","30min","6758",0,3.24250788557616,0,0.554726112532332,3.58278710392072,3.02806099138838,0,"non-transmissible","Non-transmissible"
"46","WA239","H5N1","D1.1","d5","NW","","6754",5.19033169817029,7.82501952841807,2.63468783024778,5.56169753265399,8.7961324939766,3.23443496132261,0,"non-transmissible","Non-transmissible"
"47","WA239","H5N1","D1.1","d5","NW","","6756",4.30102999566398,9.18671740047368,4.8856874048097,4.93826948346291,8.60681779070029,3.66854830723738,0,"non-transmissible","Non-transmissible"
"48","WA239","H5N1","D1.1","d5","NW","","6758",4.14612803567824,7.83797045126209,3.69184241558385,5.49415459401844,8.62999749781073,3.13584290379229,0,"non-transmissible","Non-transmissible"
"49","CA147","H5N1","B3.13","d1","SPOT","30min","6762",1.30797879357724,4.07001340467341,2.76203461109617,0.705918864291347,4.21010553929915,3.5041866750078,0,"non-transmissible","Non-transmissible"
"50","CA147","H5N1","B3.13","d1","SPOT","30min","6763",0.529827543193592,0,0,-0.13917917572291,2.49505297498815,2.63423215071106,0,"non-transmissible","Non-transmissible"
"51","CA147","H5N1","B3.13","d1","SPOT","30min","6764",1.83085753885757,3.6652589078729,1.83440136901532,1.39229974131934,5.92890709130942,4.53660734999008,0,"non-transmissible","Non-transmissible"
"52","CA147","H5N1","B3.13","d1","NIOSH","30min","6762",1.26152145438031,4.08124348600196,2.81972203162165,0.911273436046145,4.27724874833091,3.36597531228476,0,"non-transmissible","Non-transmissible"
"53","CA147","H5N1","B3.13","d1","NIOSH","30min","6763",0.11539341870207,3.86464011911558,3.74924670041351,2.23924505966916,5.56230698460636,3.3230619249372,0,"non-transmissible","Non-transmissible"
"54","CA147","H5N1","B3.13","d1","NIOSH","30min","6764",1.54675718286106,4.71055741600117,3.16380023314012,1.06963592814139,4.57493368789977,3.50529775975838,0,"non-transmissible","Non-transmissible"
